               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11209,            0.024627,            0.027814,          0.00073699,             0.11034,          0.00051916,          0.00013058,             0.10176,            0.022333,            0.026891,               0.073,               0.003,               0.003
                   1,              0.1068,            0.025409,            0.026746,           0.0017923,                 0.3,           0.0019373,          0.00037353,            0.098111,            0.023126,            0.026523,            0.044966,           0.0059658,           0.0059658
                   2,             0.10276,             0.02756,            0.025663,           0.0021856,             0.35172,           0.0032003,          0.00066288,            0.095082,            0.023936,            0.026027,            0.016795,           0.0087952,           0.0087952
                   3,            0.099312,            0.027174,             0.02421,          0.00094851,            0.024138,          0.00053216,          9.4865e-05,                 nan,                 nan,            0.074701,             0.00934,             0.00934,             0.00934
                   4,            0.093873,            0.029553,            0.019403,          0.00027216,             0.02069,          0.00015798,          2.9467e-05,             0.14811,           0.0083638,            0.068464,             0.00934,             0.00934,             0.00934
                   5,            0.088318,            0.029922,            0.013037,             0.61268,            0.075862,            0.056708,            0.016754,             0.10908,            0.020898,            0.016966,             0.00912,             0.00912,             0.00912
                   6,            0.082149,            0.028855,           0.0090421,             0.67068,             0.14828,             0.12668,            0.051475,            0.080953,            0.030201,           0.0097967,              0.0089,              0.0089,              0.0089
                   7,            0.077585,            0.029659,           0.0079463,             0.63783,             0.25172,             0.18025,            0.078057,            0.074829,            0.027202,           0.0074076,             0.00868,             0.00868,             0.00868
                   8,            0.074865,            0.027813,            0.006561,             0.59514,             0.21724,            0.089314,            0.024281,            0.096872,            0.045636,            0.021147,             0.00846,             0.00846,             0.00846
                   9,            0.073336,            0.026838,           0.0055228,              0.7138,             0.36897,             0.27635,             0.10022,            0.066193,            0.029114,           0.0049485,             0.00824,             0.00824,             0.00824
                  10,             0.06893,            0.026459,           0.0045218,             0.85777,             0.41034,             0.43426,             0.20297,            0.060215,            0.026293,           0.0031079,             0.00802,             0.00802,             0.00802
                  11,            0.066556,            0.025663,           0.0037107,             0.76583,             0.40318,             0.39991,              0.1424,             0.06234,            0.023695,           0.0031233,              0.0078,              0.0078,              0.0078
                  12,            0.062634,            0.025076,           0.0036445,             0.59782,             0.59116,             0.55784,             0.23365,             0.05456,            0.021255,           0.0025724,             0.00758,             0.00758,             0.00758
                  13,            0.060644,            0.023814,           0.0027009,             0.89335,             0.40698,             0.56361,             0.17409,             0.06261,            0.020712,            0.005067,             0.00736,             0.00736,             0.00736
